      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      4.5570   2.7207E+02       0.26489567       0.02563661
      4.5620   2.7178E+02       0.26832390       0.02594227
      4.5670   2.7148E+02       0.27193649       0.02664627
      4.5720   2.7118E+02       0.27521330       0.02743461
      4.5770   2.7089E+02       0.27783792       0.02799259
      4.5820   2.7059E+02       0.27968281       0.02805229
      4.5870   2.7029E+02       0.28089979       0.02749461
      4.5920   2.7000E+02       0.28210191       0.02649866
      4.5970   2.6971E+02       0.28437734       0.02556319
      4.6020   2.6941E+02       0.28888085       0.02524664
      4.6070   2.6912E+02       0.29622646       0.02579876
      4.6120   2.6883E+02       0.30619583       0.02704412
      4.6170   2.6854E+02       0.31793924       0.02861185
      4.6220   2.6825E+02       0.33039810       0.03022012
      4.6270   2.6796E+02       0.34257154       0.03175212
      4.6320   2.6767E+02       0.35356364       0.03313862
      4.6370   2.6738E+02       0.36270562       0.03422782
      4.6420   2.6709E+02       0.36996303       0.03488406
      4.6470   2.6680E+02       0.37624267       0.03525626
      4.6520   2.6652E+02       0.38297332       0.03576725
      4.6570   2.6623E+02       0.39113885       0.03672638
      4.6620   2.6595E+02       0.40068088       0.03807529
      4.6670   2.6566E+02       0.41064614       0.03948049
      4.6720   2.6538E+02       0.41965978       0.04049943
      4.6770   2.6509E+02       0.42660112       0.04084895
      4.6820   2.6481E+02       0.43126178       0.04067459
      4.6870   2.6453E+02       0.43423209       0.04035719
      4.6920   2.6425E+02       0.43636572       0.04017619
      4.6970   2.6396E+02       0.43851659       0.04026526
      4.7020   2.6368E+02       0.44128125       0.04059621
      4.7070   2.6340E+02       0.44476398       0.04094156
      4.7120   2.6312E+02       0.44884403       0.04110318
      4.7170   2.6285E+02       0.45358587       0.04116802
      4.7220   2.6257E+02       0.45910789       0.04133262
      4.7270   2.6229E+02       0.46536877       0.04165780
      4.7320   2.6201E+02       0.47240141       0.04221357
      4.7370   2.6174E+02       0.48020157       0.04313309
      4.7420   2.6146E+02       0.48799867       0.04427832
      4.7470   2.6118E+02       0.49434958       0.04521040
      4.7520   2.6091E+02       0.49838293       0.04566090
      4.7570   2.6064E+02       0.50035280       0.04574052
      4.7620   2.6036E+02       0.50085620       0.04570716
      4.7670   2.6009E+02       0.50010281       0.04576874
      4.7720   2.5982E+02       0.49796009       0.04598486
      4.7770   2.5954E+02       0.49430715       0.04620023
      4.7820   2.5927E+02       0.48910637       0.04606641
      4.7870   2.5900E+02       0.48243518       0.04524716
      4.7920   2.5873E+02       0.47495332       0.04376478
      4.7970   2.5846E+02       0.46818972       0.04211584
      4.8020   2.5819E+02       0.46386155       0.04090467
      4.8070   2.5792E+02       0.46283833       0.04042191
      4.8120   2.5766E+02       0.46482772       0.04066136
      4.8170   2.5739E+02       0.46866934       0.04146164
      4.8220   2.5712E+02       0.47267952       0.04249537
      4.8270   2.5686E+02       0.47502498       0.04333913
      4.8320   2.5659E+02       0.47422092       0.04364218
      4.8370   2.5632E+02       0.46968148       0.04325510
      4.8420   2.5606E+02       0.46197291       0.04227310
      4.8470   2.5580E+02       0.45229500       0.04092559
      4.8520   2.5553E+02       0.44162550       0.03938287
      4.8570   2.5527E+02       0.43067680       0.03776640
      4.8620   2.5501E+02       0.42049306       0.03634049
      4.8670   2.5474E+02       0.41235633       0.03548464
      4.8720   2.5448E+02       0.40684094       0.03538762
      4.8770   2.5422E+02       0.40314567       0.03581450
      4.8820   2.5396E+02       0.39954980       0.03624084
      4.8870   2.5370E+02       0.39463352       0.03621258
      4.8920   2.5344E+02       0.38812811       0.03556313
      4.8970   2.5318E+02       0.38089171       0.03440050
      4.9020   2.5293E+02       0.37445035       0.03305843
      4.9070   2.5267E+02       0.37034088       0.03200078
      4.9120   2.5241E+02       0.36936026       0.03158331
      4.9170   2.5215E+02       0.37120650       0.03186897
      4.9220   2.5190E+02       0.37468407       0.03264375
      4.9270   2.5164E+02       0.37815252       0.03351526
      4.9320   2.5139E+02       0.38006541       0.03404932
      4.9370   2.5113E+02       0.37962497       0.03400992
      4.9420   2.5088E+02       0.37725953       0.03356806
      4.9470   2.5062E+02       0.37433234       0.03318132
      4.9520   2.5037E+02       0.37214552       0.03321436
      4.9570   2.5012E+02       0.37106347       0.03369495
      4.9620   2.4987E+02       0.37027143       0.03432417
      4.9670   2.4962E+02       0.36823085       0.03462353
      4.9720   2.4936E+02       0.36366765       0.03416212
      4.9770   2.4911E+02       0.35661797       0.03284821
      4.9820   2.4886E+02       0.34871306       0.03108512
      4.9870   2.4861E+02       0.34229587       0.02959295
      4.9920   2.4837E+02       0.33906495       0.02898593
      4.9970   2.4812E+02       0.33931220       0.02942978
      5.0020   2.4787E+02       0.34204877       0.03063862
      5.0070   2.4762E+02       0.34557534       0.03208876
      5.0120   2.4737E+02       0.34821905       0.03325579
      5.0170   2.4713E+02       0.34908501       0.03385393
      5.0220   2.4688E+02       0.34833634       0.03397131
      5.0270   2.4664E+02       0.34669548       0.03393015
      5.0320   2.4639E+02       0.34466048       0.03400379
      5.0370   2.4615E+02       0.34201511       0.03419329
      5.0420   2.4590E+02       0.33781458       0.03416617
      5.0470   2.4566E+02       0.33100200       0.03352104
      5.0520   2.4542E+02       0.32124889       0.03213082
      5.0570   2.4517E+02       0.30918565       0.03020132
      5.0620   2.4493E+02       0.29597680       0.02810570
      5.0670   2.4469E+02       0.28285897       0.02618661
      5.0720   2.4445E+02       0.27094886       0.02466235
      5.0770   2.4421E+02       0.26118655       0.02365685
      5.0820   2.4397E+02       0.25426708       0.02328073
      5.0870   2.4373E+02       0.25046664       0.02361283
      5.0920   2.4349E+02       0.24940408       0.02455745
      5.0970   2.4325E+02       0.24991194       0.02574538
      5.1020   2.4301E+02       0.25024818       0.02662103
      5.1070   2.4277E+02       0.24881371       0.02671781
      5.1120   2.4254E+02       0.24495182       0.02593216
